0001: Hilah Spess, Ashley Sasikumar
0088: Letty Doumbouya, Bobbie Etier
0089: Martina Maret, Alonzo Lyles
0090: Cinderella Cornu, Alonza Balandran
0091: Clementina Strominger, Sammie Fiechter
0092: Almeta Waldmann, Antony Mccrossen
0093: Fanchon Ghiorso, Wellington Andersen
0094: Jinnie Fabrigas, Hector Rodriguezriver
0095: Priscilla Hoben, Tollie Satchwill
0096: Laura Posusta, Pratt Agney
0097: Phila Wilga, August Weum
0098: Floretta Frometa, Rudolf Lazarczyk
0099: Corrinne Fausnaught, Domenick Wallenius
0100: Aileene Vanduzer, Ignatz Garn
0101: Gracy Gerds, Murdock Bourdess
0102: Azzie Barackman, Pryor Ebmeyer
0103: Sanna Neutzling, Ashby Cerpas
0104: Lisa Gibeau, Boston Malvasi
0105: Monica Mccoin, Mattie Eifler
0106: Ellar Kinnie, Royden Hass
0107: Lyde Allerdings, Anson Sinnard
0108: Nanna Ocho, Adron Matros
0109: Ladonna Tiefenauer, Pearl Amaton
0110: Dorthea Ellenwood, Ethel Rudin
0111: Lura Muenchen, Jon Mccreath
0112: Elenor Beld, Haven Jachimowicz
0113: Adelaida Dabhi, Diamond Renninger
0114: Verba Klaer, Orel Rementeria
0115: Fronnie Monsegur, Raliegh Ruether
0116: Hedwig Tarket, Curtiss Lello
0117: Melvie Wirthlin, Ed Mastrosimone
0118: Odessa Hillesland, Milton Stormant
0119: Loise Cuccaro, Claiborne Chatmon
0120: Tenna Meitz, Albert Shvets
0121: Beadie Schettino, Olive Aguino
0122: Dorotea Holvick, Urban Letton
0123: Hassie Gettys, Myrl Vanicek
0124: Albirda Sandling, Wint Trelfa
0125: Louisa Kieckhafer, Hillard Living
0126: Cannie Postler, Ace Daneshvar
0127: Zylpha Isabelle, Cy Archdale
0128: Cleopatra Nealis, Hillery Laferte
0129: Johanne Dunsky, Freddy Cretaro
0130: Pattie Boodoo, Son Schauer
0131: Sular Creque, Bliss Denadel
0132: Cecile Jirschele, Cephas Mcgrann
0133: Henritta Rauber, Calvin Sutphin
0134: Alfaretta Whitbey, Luigi Urian
0135: Gracia Applen, Alf Duneman
0136: Gladyce Olivet, Elder Onufer
0137: Ema Zepka, Russell Prostko
0138: Betsey Hotchkiss, Chauncy Threatts
0139: Clema Strawn, Alphons Ehlert
0140: Hisayo Hayunga, Hugo Stroessner
0141: Olah Gatchel, Egbert Wilderman
0142: Opie Dobbert, Frances Vankuiken
0143: Estella Pache, Pate Gormally
0144: Armilda Masinter, Ella Fillo
0145: Goldie Grabon, Gonzalo Jameison
0146: Birdia Vannoort, Orson Teumer
0147: Rossie Stockhoff, Ormond Mohanraj
0148: Lila Dunteman, Haywood Milkey
0149: Bula Scalfaro, Ezell Gerwing
0150: Noelie Rodenhizer, Dolph Leduc
0151: Armella Udarbe, Gustaf Stomer
0152: Viona Jesso, Reubin Piascik
0153: Bertrice Ramsauer, Lofton Kermeen
0154: Marybelle Ainza, Ervin Thomasjones
0155: Maryetta Laserna, Macon Bruzas
0156: Pocahontas Rival, Douglass Flammini
0157: Librada Hougen, Colon Punsalan
0158: Girtha Lazaro, Odes Kirkley
0159: Arilla Fontillas, Namon Delehant
0160: Sibyl Geaghan, Bishop Behne
0161: Orene Stobbs, Mauricio Warthan
0162: Cuba Garbison, Almus Boccuzzi
0163: Melanie Roufs, Ambers Paturzo
0164: Katye Slaughter, Foster Vonallmen
0165: Coletta Rabasco, Cleve Broviak
0166: Lorraine Lintag, Marcel Foll
0167: Erin Mccumbee, Guilford Bartman
0168: Ellyn Chiu, Pervis Gilberto
0169: Carmelite Grunkemeyer, Troy Bramblett
0170: Gwendolen Bud, Embry Caster
0171: Annia Hoogendyk, Shelley Gohl
0172: Ina Stimach, Shep Demyan
0173: Venie Levandusky, Crockett Antone
0174: Pollie Sajjadi, Everette Pytko
0175: Darcus Cralle, Niles Wampner
0176: Cecila Glispy, Euel President
0177: Pennie Zeagler, Meyer Solovyeva
0178: Avie Antonyan, Henri Scites
0179: Emer Negrillo, Hughey Adem
0180: Ocea Frownfelter, Sid Somwaru
0181: Arie Hristova, Augusta Maneja
0182: Cyrena Nara, Juluis Olenik
0183: Carmelita Veas, Abel Lebon
0184: Adda Derieg, Malcom Paker
0185: Sonia Casamayor, Bertrand Collura
0186: Georgiana Belbeck, Anthony Russon
0187: Crete Schultes, Charley Willert
0188: Lucylle Copelan, Purvis Brumbach
0189: Wavie Kerchner, Myron Bengtson
0190: Tilda Wlaschin, Forrest Hilbrand
0191: Mertice Monko, Logan Madhav
0192: Jannette Wedding, Salvador Bollman
0193: Blythe Berkholtz, Algernon Maggette
0194: Gloria Hazlewood, Gus Spevacek
0195: Hope Iott, Mack Siebecker
0196: Maurine Shemo, Plez Delille
0197: Loula Tootle, Ferman Cherek
0198: Ardelle Westerkamp, Leon Lazewski
0199: Therese Flores, Herb Soltani
0200: Antonetta Eman, Arvel Ramminger
0201: Ilah Jankowski, Reinhold Weisgram
0202: Signa Hutnak, Sip Victoriano
0203: Villa Ottenbacher, Antonio Engquist
0204: Garnetta Heare, Jeffery Caramico
0205: Bessye Frazin, Lennie Sager
0206: Colletta Flagge, Lazarus Venglar
0207: Gena Degon, Agustin Desherlia
0208: Alwilda Bet, Hendrix Monigan
0209: Lily Amrine, Israel Bogans
0210: Marilda Grubish, Orren Guiel
0211: Sydell Dingwall, Macario Schardt
0212: Ota Vanderhoof, Budd Kutschera
0213: Octavie Rundlett, Irl Goli
0214: Celestine Rakers, Isaih Riveravazquez
0215: Dortha Fruehling, Lindley Amadeo
0216: Mae Kuoch, Lambert Tamulis
0217: Murtie Dewberry, Bertram Kors
0218: Katheryne Arave, Isiah Koone
0219: Patricia Dekle, Frederic Luark
0220: Christene Pruiett, Willy Wiedrick
0221: Liddie Gillikin, Monroe Serfaty
0222: Delma Diez, Redden Moncrief
0223: Zillie Oram, Carlo Oetken
0224: Leonore Belott, Herman Poladian
0225: Rosie Rimsky, Jonah Merit
0226: Eugenie Utne, Bryan Sotto
0227: Viva Ercolino, Clark Marquet
0228: Celia Ertl, Arland Herpel
0229: Margareta Supon, Bob Poper
0230: Masie Ayavaca, Raphael Birdtail
0231: Lubertha Gudas, Bun Janway
0232: Aneta Golebiewski, Patricio Eich
0233: Luta Rakotz, White Torlone
0234: Irmgard Barabas, Marcus Isabell
0235: Eathel Herschman, Preston Vandresar
0236: Vivienne Salewski, Crit Weltmer
0237: Maryann Smidt, Whitney Rolax
0238: Clista Lagasca, Farrell Dapena
0239: Petronila Strebeck, Eugenio Gregus
0240: Lotus Sterger, Thos Fleischauer
0241: Arcola Gonder, Mathews Crumbliss
0242: Peggie Rathe, Nile Posteraro
0243: Nelda Spranger, Obed Mohon
0244: Debbie Danik, Lyn Ziegenhagen
0245: Etter Houghton, Lex Crager
0246: Sophie Cincotti, Arleigh Amezquita
0247: Arna Ynclan, Hurley Plush
0248: Gabriela Lieffring, Blair Shorts
0249: Saddie Sheehe, Fong Margraf
0250: Lucetta Ellenburg, Ruben Archilla
0251: Vanda Illuzzi, Jolly Hawken
0252: Lulu Taschereau, Lenzy Galiatsatos
0253: Lorain Frieri, Alfons Trusler
0254: Audra Ruela, Almer Fellabaum
0255: Velora Talhelm, Walt Denter
0256: Adabelle Cineus, Jasper Dambrose
0257: Roslyn Wissman, Fount Chavarillo
0258: Josefa Shillington, Roland Sibbald
0259: Larcenia Wrona, Jerome Kerkstra
0260: Greta Graceffa, Clemens Freshwater
0261: Soledad Rumfola, Mat Mirka
0262: Rhoda Bernardoni, Reed Kuntzelman
0263: Emaline Ditonno, Sherman Aanonsen
0264: Deloris Smuckler, Esther Radich
0265: Dosia Prenosil, Harm Haviv
0266: Neda Roche, Hyrum Henneberg
0267: Mabelle Tout, Hershel Sigwarth
0268: Louida Tepepa, Garrett Koosman
0269: Mattye Bilan, Zenas Shales
0270: Kansas Zaharia, Bud Witts
0271: Helia Acomb, Lemar Cortes
0272: Docie Serreyn, Pearson Peshel
0273: Bobby Campodonico, Sims Hedler
0274: Sweetie Murti, Librado Demotta
0275: Elizebeth Hallford, Lucian Gabriels
0276: Zelphia Bornman, Nestor Raiff
0277: Onezia Herzig, Benard Laurenceau
0278: Marguerita Greenslate, Boy Devecchio
0279: Dewie Briesacher, Emmons Gatien
0280: Modie Granato, Alson Asgari
0281: Annabelle Jarret, English Savko
0282: Angelina Fedorak, Norval Cojocaru
0283: Chlora Beyale, Enoch Vansteyn
0284: Philomene Alahmad, William Skeene
0285: Lissie Rienks, Wilbur Moralesreyes
0286: Barbara Leocadio, Jackson Santiagocruz
0287: Lorean Erenberg, Ward Helman
0288: Elizabeath Yorkey, Eric Ostertag
0289: Mazzie Diangelis, Edna Moralesortiz
0290: Myrna Gaier, Carrie Nettekoven
0291: Pamela Joubran, Adams Combass
0292: Medie Haflich, Handy Denouden
0293: Penny Mator, Cliff Hyzer
0294: Lillias Kitko, Perl Treber
0295: Gurtrude Grissinger, Ethelbert Fallen
0296: Lulla Kitchenmaster, Guy Mendiratta
0297: Myrtis Casimere, Matt Albeck
0298: Marquerite Shoecraft, Tillman Krysko
0299: Arlean Yenne, Edker Livingston
0300: Clothilde Pelishek, Franklyn Ivins
0301: Samantha Andreoli, Less Cordon
0302: Olia Offermann, Elgin Makell
0303: Rada Tanori, Lot Seibold
0304: Gettie Kozhevnikov, Erland Aguanno
0305: Sannie Haythe, Theophile Echaves
0306: Josefina Shocklee, Earl Zwicke
0307: Francina Powlas, Luby Hanau
0308: Farrie Septer, Sarah Alterman
0309: Cleora Bondad, Profit Riss
0310: Malissie Tolen, Damon Maman
0311: Missouri Ciemny, Con Golston
0312: Cornelia Delre, Clarke Markose
0313: Dimple Winders, Mitchel Moerke
0314: Ena Loscar, Tomas Deritter
0315: Philomena Schattner, Claudius Haeberlin
0316: Pearle Folarin, Walker Lauzier
0317: Modena Serigne, Rosario Crumel
0318: Magdalen Bridgford, Alby Yhap
0319: Helmi Carmena, Gaylord Dyous
0320: Delia Propheter, Bose Vanleeuwen
0321: Minervia Paysour, Perley Duppins
0322: Gunhild Butalla, Pinkney Schuhmann
0323: Claretta Djordjevic, Armon Cocroft
0324: Delcie Rec, Blain Barretto
0325: Vanessa Perino, Chas Watty
0326: Freeda Donald, Cody Arenas
0327: Mollie Pavlich, Richmond Gawron
0328: Fredonia Henrich, Gilberto Sageman
0329: Dellia Winkowitsch, Harold Macedonio
0330: Aurilla Earlenbaugh, Fuller Supper
0331: Aileen Hayenga, Clovis Dornink
0332: Fawn Dobbyn, Elliott Panasuk
0333: Celesta Bedinghaus, Jabez Petrik
0334: Evelina Togni, Harden Mceneaney
0335: Antoinette Sandeno, Dutch Schoppa
0336: Beulah Pesco, Furman Campolito
0337: Clemma Harwin, Darius Marusa
0338: Macy Rabidoux, Evander Windemuller
0339: Virdia Kuwada, Merl Marrison
0340: Florrie Latchaw, Marty Kanehl
0341: Clio Deogracias, Llewellyn Soper
0342: Lady Heinbach, Sidney Farland
0343: Honor Shinsky, Marc Rainwater
0344: Rittie Parrinello, Carl Finkes
0345: Antionette Kirkendoll, Ruel Lurks
0346: Minie Chatelain, Major Wohlfert
0347: Idah Talerico, Knowlton Kuszmaul
0348: Myrtha Wenthe, Nelson Hykes
0349: Nancie Rohrscheib, Hanson Rorick
0350: Golda Mezzacapo, Berlin Maggiora
0351: Alfrieda Kruthoff, Telford Wilcke
0352: Rosana Shakib, Ronnie Baze
0353: Thora Singhania, Gaston Cornell
0354: Robina Billstein, Alexander Lavis
0355: Belle Paxson, Tony Verdinez
0356: Eulala Haneline, Emry Cynova
0357: Charlcie Ciminello, Rosser Hartsook
0358: Lillion Bobe, Bailey Everton
0359: Brenda Fleenor, Roosevelt Spear
0360: Artelia Datar, Saint Hunley
0361: Leora Cario, Whitelaw Felicio
0362: Flo Reinwand, Gorge Enk
0363: Felice Roussel, Ceaser Cullison
0364: Zenobia Daleske, Lorin Harbauer
0365: Leanore Pellarin, Dennis Basanta
0366: Keturah Ashbaugh, Remus Caward
0367: Maysel Levari, Conley Tukua
0368: Darlene Furfaro, Charles Tipp
0369: Marcia Bononcini, Ansel Muffly
0370: Saphronia Boreman, Leamon Strus
0371: Irena Goeltz, Stephen Lower
0372: Rosilda Rackey, Roney Albertelli
0373: Carmela Hartlein, Weaver Daily
0374: Wynona Thrope, Arne Potocki
0375: Ader Shirar, Thedore Hopman
0376: Lurana Iraggi, Jordan Soleau
0377: Patience Chafetz, Parker Kalota
0378: Albertina Wooldridge, Nimrod Prikhodko
0379: Classie Farrag, Doris Vontz
0380: Maire Urive, Eddie Iozzia
0381: Elberta Weidlich, Wendell Lesnett
0382: Lacie Lorson, Barnet Salizzoni
0383: Everlina Huhtala, Ewin Baskett
0384: Drue Paz, Thorwald Grenade
0385: Betha Arnspiger, Don Brunsvold
0386: Cordelia Lefkovitz, Jason Vanwyk
0387: Claudine Epes, Blaine Defa
0388: Blanch Ishiyama, Mearl Cockeram
0389: Zola Richetti, Abraham Dop
0390: Oneda Durka, Harvy Bovill
0391: Aline Mcgeever, Mart Stodgel
0392: Betty Dotlich, Vaughn Petty
0393: Palma Quaintance, Ulysses Orear
0394: Elzada Prange, Authur Nochebuena
0395: Senie Littig, Bart Fauria
0396: Sallye Alfredson, Odis Serianni
0397: Etta Biebel, Holden Budhoo
0398: Celestia Moscarello, Seaborn Rasulo
0399: Jennette Mccool, Ottis Mesones
0400: Rosalyn Dahmani, Broadus Persch
0401: Reine Dickhaut, Mario Strah
0402: Salena Mannarelli, Bernard Reeping
0403: Caroline Scalisi, Alan Baud
0404: Jesusita Maronde, Square Eding
0405: Siddie Zutz, Phineas Andrzejczyk
0406: Nattie Stables, Riley Croston
0407: Maybel Kickery, Rex Schran
0408: Adelene Selaya, Fleet Bacik
0409: Petrina Falanga, Wilson Doshi
0410: Gwladys Baremore, Ross Soldwisch
0411: Nessie Balestri, Rollie Jolicoeur
0412: Marea Talty, Emilio Dingee
0413: Dallie Patridge, Francis Seppa
0414: Ioma Yanai, Tucker Verderber
0415: Cenie Jaros, Hilliard Arno
0416: Loris Labarr, Mathias Prenger
0417: Dassie Werdin, Loran Tennenbaum
0418: Carlie Marchesani, Oscar Piccoli
0419: Veronica Belleman, Gerhardt Stellick
0420: Bular Perezortiz, Hansford Denman
0421: Illa Gamelin, Carlisle Wich
0422: Yolanda Baehre, Manley Mcraith
0423: Vennie Mcmichen, Polk Conduff
0424: Theodocia Zingone, Ashton Housden
0425: Chattie Mayora, Emil Partida
0426: Rubie Steffenson, Seldon Sifuentez
0427: Edla Onley, Buel Mical
0428: Cammie Lombardini, Purl Witek
0429: Louvina Avola, Elijah Mckitterick
0430: Amelia Dargento, Richard Krystof
0431: Cottie Mulvehill, Orvil Roze
0432: Petra Latona, Jas Gaudin
0433: Ermine Gridley, Mills Latona
0434: Locie Sansone, Severt Defever
0435: Creta Surati, Andre Scandura
0436: Delight Camac, Fitzhugh Plascencia
0437: Aneita Sumling, Isaiah Trate
0438: Elmyra Mehmert, Garvin Killett
0439: Mahala Golich, Jeffrey Ronalds
0440: Okie Thole, Yancy Tiwana
0441: Missouria Laface, Lonnie Rickert
0442: Frona Dalcourt, Earley Jativa
0443: Louvenia Urry, Elliot Tonsing
0444: Nettie Cluff, Arlington Hetherman
0445: Luberta Liddicoat, Sheppard Poortinga
0446: Geneve Titera, Leighton Gozzo
0447: Floride Madigan, Everet Noteboom
0448: Willette Lalka, Delmer Lindbom
0449: Coralie Eppel, Ramsey Ramosrodriguez
0450: Vila Buehre, Elsworth Napolitan
0451: Omie Liphardt, Malachi Nikitenko
0452: Eather Skonecki, Neil Dybvig
0453: Josefita Milwee, Oliver Loster
0454: Joanne Lichtenwald, Sigurd Malick
0455: Berta Baraldi, Edmon Amante
0456: Alwine Muchmore, Page Waytashek
0457: Reeta Zwahr, Cipriano Braun
0458: Crystal Bouwkamp, Curt Lawrie
0459: Marieta Sabato, Alfonso Contes
0460: Melvina Overbye, Roscoe Bartnett
0461: Vianna Liscum, Randle Greathead
0462: Maryellen Healer, Orphus Salamah
0463: Tiny Fratello, Arch Khavari
0464: Itha Radvansky, Shedrick Kosobucki
0465: Fayetta Lessin, Barry Gessert
0466: Leathie Apolinario, Sebastian Schlaeger
0467: Fredericka Mondello, Graydon Maida
0468: Arkie Maceda, Bee Tram
0469: Ines Grebel, Ruth Fernandez
0470: Ferol Bannasch, Wash Niermann
0471: Veola Holets, Vernard Galego
0472: Polly Fury, Nehemiah Weelborg
0473: Phillis Timperley, Elby Flam
0474: Milly Desrochers, Stacy Thakrar
0475: Ermie Arlet, Louis Gorham
0476: Cleta Laveglia, Rutherford Newcomer
0477: Lavena Dicocco, Nick Mccrindle
0478: Meda Nickolauson, Ollis Ix
0479: Loyce Buchowski, Danial Neubeck
0480: Wealthy Stickler, Gunder Linsenbigler
0481: Armina Tramble, Waldemar Brockwell
0482: Ellinor Billado, Teodoro Karako
0483: Xenia Urquizo, Carlton Ananda
0484: Ethelwyn Chalouh, Fredric Busenitz
0485: Amada Omans, Halbert Stanson
0486: Lillia Bulik, Vann Luehmann
0487: Cynthia Garofalo, June Zeiset
0488: Ferne Ardila, Glenn Demello
0489: Janette Farrell, Rodolfo Rothmann
0490: Thresa Patrylak, Arther Ciavarelli
0491: Donna Baylosis, Deforest Kannady
0492: Margart Segrue, Ebenezer Berko
0493: Dasie Barve, Edw Jarratt
0494: Texana Gernand, Coley Dzwonkowski
0495: Jeannette Trundle, Etienne Wolbrink
0496: Felicie Es, Burr Rawie
0497: Neola Flewellyn, Ennis Buckholtz
0498: Robena Gorbey, Armond Toh
0499: Hedda Radicke, Burgess Shaub
0500: Kizzie Paullus, Frederick Skinnell
0501: Ellena Adelstein, Ammon Sengchanh
0502: Octa Sanchezruiz, Harman Kanach
0503: Germaine Basting, Verne Mondloch
0504: Valentina Opalach, Merritt Carruba
0505: Adelina Tilgner, Rance Sehl
0506: Beaulah Teichroew, Donald Dormaier
0507: Valetta Tafe, Candido Nunnally
0508: Francisquita Rynne, Ah Daiello
0509: Mrytle Mahalik, Posey Tasich
0510: Janie Jacinto, Lloyd Mcpeak
0511: Mina Santy, Perrin Posner
0512: Libbie Gillispie, Wilton Hotzel
0513: Tacie Villalbazo, Roberto Jendrysik
0514: Arrie Holubec, Lupe Denetsosie
0515: Goldia Ferer, Abron Curwick
0516: Malissa Knepshield, Wm Durward
0517: Onelia Roquet, Adam Colmone
0518: Neita Rubrecht, Bertie Kakimoto
0519: Vinita Burlingham, Marcellus Selbee
0520: Chanie Severn, Talmadge Farneth
0521: Varina Tesar, Constantine Buddin
0522: Louisiana Calamari, Tex Aaron
0523: Rella Lanciani, Forest Galiana
0524: Lynda Square, Rudolph Springate
0525: Lemma Ferrian, Winslow Villella
0526: Rosaria Frenger, Sandy Boccard
0527: Ragna Grew, Phil Ramdial
0528: Massie Declouet, Ruby Holberg
0529: Lael Kawaoka, Dannie Piche
0530: Alina Bissinger, Collier Gullette
0531: Lettie Petterborg, Whit Freese
0532: Ama Grittman, Lyle Wendzel
0533: Dominga Zgonc, Fielding Riniker
0534: Becky Riggins, Rhea Zamacona
0535: Byrde Prinsloo, Ingram Covan
0536: Miriam Calbo, Hiram Seron
0537: Verma Bulot, Ruffus Carper
0538: Jeanette Zeeman, Roswell Delzer
0539: Alliene Wiig, Carson Talukdar
0540: Nealy Sarsour, Barnie Yando
0541: Allean Pollesch, Moses Mecozzi
0542: Emelia Behrens, Emit Mcwhinney
0543: Lodema Panza, Cornelious Cornin
0544: Lottie Burkart, Saul Pula
0545: Angelena Bingenheimer, Braxton Herner
0546: Luetta Bruck, Hoke Kouf
0547: Jessica Godbold, Sylvan Maund
0548: Vilma Lougee, Valentine Rosendorf
0549: Sigrid Hamblin, Bowman Acreman
0550: Freida Roselle, Millard Hrdina
0551: Lucretia Salsberg, Felipe Estradaperez
0552: Snow Verbick, Armor Dwornik
0553: Marylou Forant, Cyrus Lafriniere
0554: Wreatha Serini, Adolf Pennie
0555: Adalia Brutger, Auther Ryberg
0556: Catherine Fortuna, Bayard Ghiselli
0557: Montie Garsow, Lish Milinkovich
0558: Senora Eisenhardt, Joy Valentin
0559: Drusilla Biesen, Garret Harroun
0560: Leanna Catania, York Loomans
0561: Monnie Winsett, Fox Azzara
0562: Opha Fergeson, Alden Ranaudo
0563: Berda Riethmiller, Gregory Magette
0564: Roseanna Neelis, Orr Shi
0565: Madelin Blask, Royal Lovich
0566: Jenny Ravina, Vince Ettelson
0567: Clotilde Freymann, Dink Dannis
0568: Ermon Lauderbaugh, Cleveland Canty
0569: Osa Tritt, Jacques Bombardo
0570: Harriette Jackon, Isidor Oborski
0571: Signe Glatczak, Red Buffalohead
0572: Parlee Boornazian, Carroll Kunitz
0573: Hazell Langshaw, Ivy Gahl
0574: Veva Lorette, Clifton Damesworth
0575: Tempie Almarode, Lena Tolbert
0576: Hennie Beetem, Hershell Kishimoto
0577: Dona Baisden, Lamont Redling
0578: Teresita Backherms, Lige Maxeiner
0579: Maryanna Rawski, Al Hunziker
0580: Lanie Trimino, Audrey Nadig
0581: Anice Knauff, Bennett Haahr
0582: Reah Turnes, Burl Gumtow
0583: Trilby Boyett, Evans Dibernardo
0584: Kaye Estopinal, Edson Sheldrake
0585: Charlsie Stoudenmire, Lonzie Oandasan
0586: Ever Bruinooge, Melville Nasto
0587: Vista Clapsadle, Denver Chafe
0588: Velmer Wickenhauser, Harrell Harcarik
0589: Rebeca Jewison, Gentry Lafromboise
0590: Atha Wharam, Kay Rozenfeld
0591: Zadie Fomby, Elige Eickleberry
0592: Belvia Katayama, Gaither Vensel
0593: Mira Morawa, Lynn Pedone
0594: Rennie Delso, Thad Kacvinsky
0595: Gaynell Kurita, Theodor Suren
0596: Philippina Paalman, Romie Gatschet
0597: Ula Darr, Needham Mazurowski
0598: Antonie Varacalli, Sameul Stamaria
0599: Gertude Ludwigson, Mac Kermani
0600: Luevenia Halbrooks, Eber Bereza
0601: Chaney Levanti, Mallie Balseca
0602: Atlanta Mlinarcik, Samson Kizewski
0603: Doxie Deslatte, Loring Mezick
0604: Angline Borowicz, Leigh Granath
0605: Deliah Galaviz, Madison Healea
0606: Lodie End, Linwood Jansons
0607: Norma Bayoh, Britton Weeda
0608: Mignon Coco, Ben Norah
0609: Buna Baltierra, Ken Kenon
0610: Agapita Phorn, Lawrance Krystek
0611: Georganna Gaukel, Regis Borka
0612: Hildreth Fukuyama, Noble Lorimor
0613: Mardell Marturano, Dwight Sotiriou
0614: Princess Willens, Rocco Kloepping
0615: Izma Symmonds, Quinton Peluso
0616: Una Kanzig, Willis Darna
0617: Tula Stravers, Levi Mcleran
0618: Susanna Dipaula, Cleon Katzfey
0619: Elaine Longeway, Berton Franciosi
0620: Eleonore Lepp, Burt Feaster
0621: Abigail Glandon, Erven Strohman
0622: Gretta Ghias, Carman Rovelli
0623: Yetta Akles, Belford Cordova
0624: Emiline Craanen, Ellison Hannett
0625: Arda Yerramilli, Orvin Durrum
0626: Thecla Chernis, Virgle Ezquivel
0627: Safronia Schwent, Sun Victorson
0628: Katherene Macdonnell, Emitt Hadd
0629: Ellen Zimbrick, Shafter Shelvy
0630: Adelyn Masson, Landon Pokrzywa
0631: Lockie Heierman, Waddie Garbowski
0632: Margaretha Bankert, Kyle Winingham
0633: Lorene Vanswol, Reuel Powis
0634: Alvia Kart, Frederich Remen
0635: Sofia Bricknell, Sullivan Dekle
0636: Mahalie Egts, Elsie Boteilho
0637: Achsa Szmyd, Malachy Pany
0638: Irby Kozera, Acey Grosche
0639: Philena Taggart, Werner Westlie
0640: Vella Keddy, Stokes Rothenhoefer
0641: Velma Schaul, Lionel Gettle
0642: Lalia Beavan, Orie Ele
0643: Thera Krula, Chance Lantier
0644: Georgian Badio, Conway Budish
0645: Kathleen Gerlack, Redmond Lager
0646: Twila Monique, Vic Apling
0647: Roena Scarber, Rainey Quichocho
0648: Mellie Hardie, Edison Ierardi
0649: Novia Terborg, Hilding Arrell
0650: Roselle Cianflone, Olaf Monarca
